iteracja	x	epsilon
0	2.313519	0.400000
1	2.173380	0.013519
2	2.171021	0.226620
3	2.203811	0.142497
4	2.196138	0.030431
5	2.198404	0.025117
6	2.198048	0.005407
7	2.197911	0.001910
8	2.198747	0.000493
9	2.197964	0.000699
10	2.198296	0.000054
11	2.198485	0.000452
12	2.198221	0.000521
13	2.197564	0.000074
14	2.197354	0.000921
15	2.197928	0.000867
16	2.198250	0.000363
17	2.192801	0.000896
18	2.198136	0.005127
19	2.197819	0.000114
20	2.197665	0.005018
21	2.197972	0.000470
22	2.201704	0.000153
23	2.197568	0.004039
24	2.199307	0.000404
25	2.198111	0.002397
26	2.198078	0.000543
27	2.197233	0.001228
28	2.198232	0.000878
29	2.197688	0.000154
30	2.197883	0.000455
31	2.197970	0.000349
32	2.196655	0.000282
33	2.197845	0.001228
34	2.193012	0.000124
35	2.198513	0.003643
36	2.198374	0.000667
37	2.197921	0.005362
38	2.197676	0.000592
39	2.198193	0.000699
40	2.197236	0.000272
41	2.197943	0.000440
42	2.197855	0.000250
43	2.193953	0.000619
44	2.197765	0.003990
45	2.198413	0.000090
46	2.198249	0.004459
47	2.198065	0.000484
48	2.197339	0.000348
49	2.198467	0.000910
50	2.197681	0.000402
51	2.197975	0.000342
52	2.198042	0.000492
53	2.197606	0.000360
54	2.198019	0.000370
55	2.197738	0.000022
56	2.197680	0.000132
57	2.197783	0.000339
58	2.198998	0.000045
59	2.199745	0.001318
60	2.198156	0.001962
61	2.197914	0.000842
62	2.197559	0.001831
63	2.198058	0.000597
64	2.196202	0.000144
65	2.197749	0.001357
66	2.197440	0.000309
67	2.198271	0.001239
68	2.198490	0.000522
69	2.197929	0.001050
70	2.197521	0.000342
71	2.198258	0.000970
72	2.196540	0.000329
73	2.197938	0.000980
74	2.197859	0.000321
75	2.200230	0.001319
76	2.197760	0.002293
77	2.198306	0.000099
78	2.198183	0.001924
79	2.198030	0.000423
80	2.192905	0.000276
81	2.198244	0.005278
82	2.196808	0.000214
83	2.197814	0.003903
84	2.197860	0.000429
85	2.198434	0.001053
86	2.197374	0.000619
87	2.198140	0.000486
88	2.197972	0.000294
89	2.197823	0.000598
90	2.198107	0.000317
91	2.197779	0.000135
92	2.197952	0.000044
93	2.197925	0.000156
94	2.197668	0.000146
95	2.197870	0.000284
96	2.197245	0.000055
97	2.195604	0.000423
98	2.199050	0.002266
99	2.198091	0.001805
100	2.197982	0.002487
101	2.196720	0.001069
102	2.198074	0.001371
103	2.195876	0.000092
104	2.197582	0.000845
105	2.197504	0.000491
106	2.198159	0.001628
107	2.198313	0.000577
108	2.197870	0.000809
109	2.218755	0.000289
110	2.198106	0.020442
111	2.198425	0.000236
112	2.197477	0.020329
113	2.202699	0.000628
114	2.197985	0.004273
115	2.198097	0.000507
116	2.200192	0.004602
117	2.198082	0.002207
118	2.197276	0.000015
119	2.197106	0.002916
120	2.197707	0.000976
121	2.198143	0.000431
122	2.198300	0.001038
123	2.197920	0.000593
124	2.200840	0.000223
125	2.198154	0.002540
126	2.198534	0.000234
127	2.197602	0.002306
128	2.196874	0.000553
129	2.198030	0.001660
130	2.198203	0.000428
131	2.197357	0.001329
132	2.198269	0.000673
133	2.197878	0.000066
134	2.197917	0.000521
135	2.198094	0.000352
136	2.197752	0.000215
137	2.198012	0.000165
138	2.197896	0.000082
139	2.197781	0.000145
140	2.197913	0.000231
141	2.197446	0.000017
142	2.197532	0.000335
143	2.192009	0.000381
144	2.198262	0.005437
145	2.198117	0.000729
146	2.197826	0.006108
147	2.198958	0.000435
148	2.197962	0.000841
149	2.198192	0.000135
150	2.198558	0.000766
151	2.198138	0.000596
152	2.197313	0.000054
153	2.196637	0.001245
154	2.197810	0.001501
155	2.198121	0.000497
156	2.198400	0.001484
157	2.197955	0.000589
158	2.209223	0.000166
159	2.198270	0.010823
160	2.199136	0.000315
161	2.197791	0.010087
162	2.197717	0.000479
163	2.198172	0.001419
164	2.202385	0.000381
165	2.197945	0.004667
166	2.197663	0.000226
167	2.198813	0.004721
168	2.197414	0.000868
169	2.198080	0.000249
170	2.198026	0.000733
171	2.197740	0.000612
172	2.198114	0.000340
173	2.197798	0.000087
174	2.197910	0.000058
175	2.197941	0.000204
176	2.197561	0.000144
177	2.197838	0.000349
178	2.197063	0.000103
179	2.199782	0.000498
180	2.198591	0.001944
181	2.198032	0.001528
182	2.197877	0.001749
183	2.199035	0.000714
184	2.197918	0.001003
185	2.198271	0.000042
186	2.198373	0.000764
187	2.198136	0.000455
188	2.197336	0.000135
189	2.432262	0.001037
190	2.197812	0.234125
191	2.198348	0.000476
192	2.198451	0.233914
193	2.198074	0.000639
194	2.197611	0.000274
195	2.199553	0.000840
196	2.197801	0.001479
197	2.198097	0.000190
198	2.198201	0.001456
199	2.197929	0.000400
200	2.198492	0.000168
201	2.198105	0.000290
202	2.198257	0.000176
203	2.168037	0.000234
204	2.198785	0.030068
205	2.197841	0.000527
206	2.198006	0.029804
207	2.198189	0.000779
208	2.197853	0.000348
209	2.198203	0.000153
210	2.198030	0.000014
211	2.198038	0.000177
212	2.198269	0.000165
213	2.198072	0.000240
214	2.198392	0.000034
215	2.198561	0.000123
216	2.199069	0.000489
217	2.197710	0.000676
218	2.197847	0.000852
219	2.198116	0.001222
220	2.195315	0.000407
221	2.197975	0.002531
222	2.197644	0.000141
223	2.213234	0.002329
224	2.197551	0.015259
225	2.198163	0.000093
226	2.198135	0.015071
227	2.197885	0.000584
228	2.198532	0.000278
229	2.198018	0.000396
230	2.198196	0.000133
231	2.198696	0.000336
232	2.198234	0.000678
233	2.197462	0.000038
234	2.197572	0.001234
235	2.197914	0.000662
236	2.198288	0.000452
237	2.196387	0.000716
238	2.198140	0.001528
239	2.197871	0.000147
240	2.197732	0.001485
241	2.198011	0.000408
242	2.196886	0.000140
243	2.197762	0.000846
244	2.197148	0.000249
245	2.198337	0.000262
246	2.198386	0.000575
247	2.197925	0.001237
248	2.197529	0.000413
249	2.198204	0.000857
250	2.196418	0.000279
251	2.197909	0.001111
252	2.197814	0.000295
253	2.198997	0.001396
254	2.197602	0.001088
255	2.198183	0.000213
256	2.198073	0.000814
257	2.197913	0.000472
258	2.198353	0.000270
259	2.197991	0.000280
260	2.198172	0.000077
261	2.198331	0.000181
262	2.198162	0.000341
263	2.193674	0.000010
264	2.188014	0.004658
265	2.197722	0.010147
266	2.197909	0.004048
267	2.198189	0.009895
268	2.197312	0.000467
269	2.198077	0.000598
270	2.197861	0.000112
271	2.197703	0.000549
272	2.197951	0.000373
273	2.196091	0.000090
274	2.197533	0.001612
275	2.200741	0.000418
276	2.198148	0.004650
277	2.198096	0.000615
278	2.197581	0.002645
279	2.198342	0.000567
280	2.197821	0.000247
281	2.197982	0.000240
