x	f_x
1.500000	0.022520
1.510000	0.019545
1.520000	0.016807
1.530000	0.014293
1.540000	0.011994
1.550000	0.009898
1.560000	0.007995
1.570000	0.006275
1.580000	0.004729
1.590000	0.003346
1.600000	0.002118
1.610000	0.001034
1.620000	0.000088
1.630000	-0.000732
1.640000	-0.001432
1.650000	-0.002020
1.660000	-0.002506
1.670000	-0.002896
1.680000	-0.003198
1.690000	-0.003419
1.700000	-0.003566
1.710000	-0.003646
1.720000	-0.003664
1.730000	-0.003629
1.740000	-0.003545
1.750000	-0.003418
1.760000	-0.003253
1.770000	-0.003057
1.780000	-0.002834
1.790000	-0.002588
1.800000	-0.002325
1.810000	-0.002049
1.820000	-0.001763
1.830000	-0.001472
1.840000	-0.001179
1.850000	-0.000887
1.860000	-0.000601
1.870000	-0.000321
1.880000	-0.000052
1.890000	0.000204
1.900000	0.000446
1.910000	0.000671
1.920000	0.000878
1.930000	0.001065
1.940000	0.001232
1.950000	0.001376
1.960000	0.001498
1.970000	0.001597
1.980000	0.001672
1.990000	0.001724
2.000000	0.001753
2.010000	0.001760
2.020000	0.001745
2.030000	0.001708
2.040000	0.001653
2.050000	0.001579
2.060000	0.001488
2.070000	0.001383
2.080000	0.001265
2.090000	0.001138
2.100000	0.001003
2.110000	0.000863
2.120000	0.000723
2.130000	0.000584
2.140000	0.000450
2.150000	0.000327
2.160000	0.000216
2.170000	0.000124
2.180000	0.000054
2.190000	0.000011
2.200000	0.000001
2.210000	0.000028
2.220000	0.000098
2.230000	0.000217
2.240000	0.000391
2.250000	0.000626
2.260000	0.000928
2.270000	0.001305
2.280000	0.001764
2.290000	0.002310
2.300000	0.002953
2.310000	0.003699
2.320000	0.004557
2.330000	0.005534
2.340000	0.006640
2.350000	0.007882
2.360000	0.009270
2.370000	0.010813
2.380000	0.012520
2.390000	0.014401
2.400000	0.016465
