iteracja	x	epsilon
0	2.549778	0.400000
1	2.233644	0.449778
2	1.987147	0.233644
3	2.232512	0.562630
4	2.280564	0.001131
5	2.275527	0.293417
6	2.224529	0.043015
7	2.243550	0.056035
8	2.219239	0.031977
9	2.215921	0.005290
10	2.213354	0.027629
11	2.208139	0.005885
12	2.206576	0.007782
13	2.204276	0.006777
14	2.202745	0.003863
15	2.201683	0.003832
16	2.200732	0.002593
17	2.200088	0.002012
18	2.199572	0.001595
19	2.199180	0.001160
20	2.198887	0.000908
21	2.198657	0.000686
22	2.198482	0.000522
23	2.198345	0.000404
24	2.198233	0.000313
25	2.198138	0.000249
26	2.198049	0.000206
27	2.197947	0.000184
28	2.197759	0.000192
29	2.211422	0.000291
30	2.198133	0.013475
31	2.197751	0.000375
32	2.198129	0.013671
33	2.198739	0.000005
34	2.198699	0.000988
35	2.198050	0.000570
36	2.198324	0.000689
37	2.197977	0.000375
38	2.197904	0.000073
39	2.197802	0.000420
40	2.198420	0.000175
41	2.198113	0.000516
42	2.197393	0.000311
43	2.197991	0.001026
44	2.198245	0.000122
45	2.198077	0.000851
46	2.197771	0.000085
47	2.197896	0.000474
48	2.198457	0.000180
49	2.198086	0.000686
50	2.197719	0.000189
51	2.197976	0.000738
52	2.198391	0.000109
53	2.198150	0.000672
54	2.197833	0.000173
55	2.198012	0.000558
56	2.202536	0.000138
57	2.198350	0.004702
58	2.198001	0.000338
59	2.198315	0.004535
60	2.197853	0.000035
61	2.197836	0.000148
62	2.197413	0.000479
63	2.198090	0.000439
64	2.197942	0.000254
65	2.198212	0.000529
66	2.196186	0.000122
67	2.197579	0.001755
68	2.198273	0.000632
69	2.197683	0.002086
70	2.199132	0.000103
71	2.201135	0.000859
72	2.197497	0.003452
73	2.198823	0.001636
74	2.197382	0.002312
75	2.196550	0.000114
76	2.195306	0.002273
77	2.197593	0.002077
78	2.197074	0.001044
79	2.197664	0.001769
80	2.197757	0.000071
81	2.197795	0.000683
82	2.197949	0.000131
83	2.198006	0.000192
84	2.198164	0.000210
85	2.199168	0.000215
86	2.197698	0.001162
87	2.198105	0.000465
88	2.197535	0.001063
89	2.198427	0.000164
90	2.198281	0.000322
91	2.204673	0.000746
92	2.198096	0.006246
93	2.198262	0.000185
94	2.198087	0.006410
95	2.197925	0.000009
96	2.197917	0.000337
97	2.193205	0.000171
98	2.198290	0.004720
99	2.197929	0.000373
100	2.198321	0.004724
101	2.197668	0.000031
102	2.197700	0.000261
103	2.212432	0.000620
104	2.197925	0.014764
105	2.197691	0.000225
106	2.197921	0.014741
107	2.198076	0.000004
108	2.198072	0.000385
109	2.219930	0.000151
110	2.197685	0.021854
111	2.198070	0.000387
112	2.197678	0.021860
113	2.198302	0.000006
114	2.198297	0.000233
115	2.205991	0.000618
116	2.198063	0.007689
117	2.198280	0.000234
118	2.198056	0.007711
119	2.197900	0.000007
120	2.197892	0.000380
121	2.199315	0.000164
122	2.198199	0.001415
123	2.197840	0.000307
124	2.198139	0.001476
125	2.195831	0.000060
126	2.201460	0.002009
127	2.198174	0.003321
128	2.192309	0.002343
129	2.198152	0.009151
130	2.198190	0.000022
131	2.198166	0.005881
132	2.197932	0.000014
133	2.197942	0.000258
134	2.197351	0.000224
135	2.198382	0.000580
136	2.198021	0.000440
137	2.199132	0.000669
138	2.197891	0.000749
139	2.197975	0.000130
140	2.197828	0.001156
141	2.198369	0.000062
142	2.198244	0.000394
143	2.197416	0.000416
144	2.198062	0.000953
145	2.198575	0.000182
146	2.198170	0.001159
147	2.197975	0.000108
148	2.198062	0.000600
149	2.197610	0.000109
150	2.196520	0.000364
151	2.198232	0.001542
152	2.197720	0.000622
153	2.198318	0.001200
154	2.200488	0.000086
155	2.194359	0.002767
156	2.198264	0.003960
157	2.206214	0.002224
158	2.198301	0.011856
159	2.198250	0.000037
160	2.198285	0.007964
161	2.198042	0.000016
162	2.198036	0.000208
163	2.197878	0.000249
164	2.197355	0.000165
165	2.198656	0.000681
166	2.197965	0.000778
167	2.161038	0.000611
168	2.197880	0.037618
169	2.197967	0.000086
170	2.197882	0.036929
171	2.198315	0.000002
172	2.198320	0.000348
173	2.197548	0.000438
174	2.198077	0.000767
175	2.199497	0.000243
176	2.198232	0.001949
177	2.198040	0.000155
178	2.198171	0.001456
179	2.197843	0.000061
180	2.197786	0.000197
181	2.192583	0.000385
182	2.198051	0.005261
183	2.197804	0.000264
184	2.198061	0.005222
185	2.198428	0.000010
186	2.198477	0.000624
187	2.197947	0.000416
188	2.198168	0.000481
189	2.197818	0.000308
190	2.197472	0.000129
191	2.204096	0.000696
192	2.197938	0.006278
193	2.197415	0.000466
194	2.197929	0.006681
195	2.198025	0.000009
196	2.198017	0.000610
197	2.199183	0.000087
198	2.196762	0.001158
199	2.197973	0.001255
200	2.229690	0.001210
201	2.198015	0.032928
202	2.197972	0.000042
203	2.198014	0.031718
204	2.202088	0.000001
205	2.201677	0.004116
206	2.198001	0.003663
207	2.199947	0.004086
208	2.197987	0.001730
209	2.197975	0.000014
210	2.197961	0.001972
211	2.199376	0.000027
212	2.198794	0.001401
213	2.197921	0.000833
214	2.198481	0.001455
215	2.197839	0.000313
216	2.197776	0.000081
217	2.197597	0.000705
218	2.198042	0.000243
219	2.197939	0.000266
220	2.198192	0.000342
221	2.200930	0.000150
222	2.197513	0.002991
223	2.198164	0.000678
224	2.197397	0.002767
225	2.198408	0.000116
226	2.198344	0.000245
227	2.199540	0.000947
228	2.198118	0.001132
229	2.198254	0.000226
230	2.198078	0.001286
231	2.197940	0.000039
232	2.197903	0.000314
233	2.194914	0.000175
234	2.198296	0.003026
235	2.197923	0.000393
236	2.198346	0.003009
237	2.197657	0.000051
238	2.197707	0.000266
239	2.152273	0.000640
240	2.197924	0.045384
241	2.197711	0.000217
242	2.197926	0.045438
243	2.198083	0.000002
244	2.198085	0.000372
245	2.191244	0.000159
246	2.197731	0.006838
247	2.198094	0.000354
248	2.197749	0.006849
249	2.198441	0.000018
250	2.198482	0.000347
251	2.197146	0.000733
252	2.198174	0.001295
253	2.199252	0.000307
254	2.198296	0.002106
255	2.198117	0.000122
256	2.198206	0.001136
257	2.197958	0.000090
258	2.197913	0.000159
259	2.197630	0.000293
260	2.198376	0.000328
261	2.198044	0.000463
262	2.169633	0.000415
263	2.197916	0.028743
264	2.198046	0.000128
265	2.197918	0.028413
266	2.199484	0.000002
267	2.199581	0.001437
268	2.197877	0.001663
269	2.198752	0.001607
270	2.197831	0.000830
271	2.197770	0.000046
272	2.197693	0.000982
273	2.198033	0.000138
274	2.197966	0.000263
275	2.198228	0.000273
276	2.245008	0.000194
277	2.197690	0.047042
278	2.198226	0.000537
279	2.197688	0.046782
280	2.199463	0.000003
281	2.199427	0.001237
282	2.197559	0.001739
283	2.198707	0.001904
284	2.197311	0.000720
285	2.196639	0.000248
286	2.171352	0.002068
287	2.197569	0.025959
288	2.196716	0.000930
289	2.197579	0.025364
290	2.197708	0.000010
291	2.197714	0.000992
292	2.197901	0.000135
293	2.197946	0.000193
294	2.198062	0.000232
295	2.198307	0.000161
296	2.191701	0.000361
297	2.197911	0.006361
298	2.198333	0.000396
299	2.197921	0.006632
300	2.197666	0.000010
301	2.197691	0.000667
302	2.198062	0.000230
303	2.197921	0.000397
304	2.198290	0.000230
305	2.201439	0.000228
306	2.197645	0.003518
307	2.198254	0.000645
308	2.197588	0.003184
309	2.199421	0.000057
310	2.199000	0.001167
311	2.197371	0.001412
312	2.198567	0.002050
313	2.196178	0.000433
314	2.204803	0.001193
315	2.198869	0.006236
316	2.195531	0.002691
317	2.198767	0.009272
318	2.199383	0.000102
319	2.199150	0.003852
320	2.198471	0.000383
321	2.198609	0.000913
322	2.198302	0.000540
323	2.198218	0.000168
324	2.198145	0.000392
325	2.198027	0.000157
326	2.197944	0.000191
327	2.197720	0.000201
328	2.199821	0.000307
329	2.198108	0.001877
330	2.197636	0.000389
331	2.198076	0.002185
332	2.198359	0.000033
333	2.198276	0.000723
334	2.197943	0.000201
335	2.198074	0.000416
336	2.197690	0.000202
337	2.194702	0.000252
338	2.198320	0.003373
339	2.197732	0.000630
340	2.198372	0.003030
341	2.195351	0.000053
342	2.196550	0.002381
343	2.198458	0.001822
344	2.197080	0.003107
345	2.198724	0.000530
346	2.199028	0.000266
347	2.201724	0.001948
348	2.198396	0.003000
349	2.198798	0.000632
350	2.198346	0.002926
351	2.198222	0.000050
352	2.198196	0.000576
353	2.198044	0.000150
354	2.197980	0.000178
355	2.197819	0.000217
356	2.195715	0.000225
357	2.198240	0.002265
358	2.197853	0.000422
359	2.198295	0.002138
360	2.197071	0.000054
361	2.197358	0.000783
362	2.198515	0.000937
363	2.197654	0.001444
364	2.201051	0.000296
365	2.196648	0.002536
366	2.197592	0.001006
367	2.195571	0.003459
