iteracja	x	epsilon
0	1.431614	0.400000
1	2.093136	0.668386
2	1.483338	0.093136
3	5.267156	0.051723
4	-19.577760	3.174021
5	1.818393	21.061097
6	1.989361	3.448763
7	2.070740	21.567120
8	1.841135	0.252347
9	2.052048	0.148225
10	1.732633	0.018692
11	1.783199	0.108502
12	2.239437	0.268848
13	1.798455	0.506804
14	2.174279	0.015256
15	2.161329	0.065158
16	2.237204	0.362873
17	2.195499	0.062926
18	2.201572	0.034171
19	2.198243	0.035633
20	2.198031	0.002744
21	2.197757	0.003541
22	2.198327	0.000486
23	2.197819	0.000296
24	2.198036	0.000061
25	2.198071	0.000291
26	2.197875	0.000252
27	2.198116	0.000162
28	2.197956	0.000045
29	2.197995	0.000082
30	2.198069	0.000121
31	2.197954	0.000113
32	2.198067	0.000041
33	2.198024	0.000002
34	2.198022	0.000070
35	2.198097	0.000044
36	2.198050	0.000072
37	2.198127	0.000027
38	2.198165	0.000030
39	2.198205	0.000115
40	2.198502	0.000078
41	2.199109	0.000337
42	2.197300	0.000904
43	2.197835	0.001202
44	2.198030	0.001274
45	2.198739	0.000731
46	2.197881	0.000903
47	2.199441	0.000150
48	2.198236	0.000703
49	2.198316	0.000355
50	2.197701	0.001125
51	2.196785	0.000535
52	2.198009	0.001531
53	2.198257	0.000308
54	2.197047	0.001473
55	2.198284	0.000962
56	2.197882	0.000027
57	2.197896	0.000835
58	2.198105	0.000388
59	2.197716	0.000222
60	2.198003	0.000180
61	2.197889	0.000101
62	2.197730	0.000173
63	2.197896	0.000273
64	2.197143	0.000007
65	2.197220	0.000587
66	2.199437	0.000676
67	2.198140	0.002294
68	2.198035	0.000920
69	2.197461	0.001403
70	2.198197	0.000679
71	2.197638	0.000162
72	2.197891	0.000177
73	2.197933	0.000306
74	2.196212	0.000295
75	2.197800	0.001679
76	2.199530	0.000134
77	2.198344	0.003319
78	2.198199	0.000544
79	2.197796	0.001331
80	2.196393	0.000548
81	2.198000	0.001806
82	2.198349	0.000204
83	2.196512	0.001956
84	2.198357	0.001488
85	2.197901	0.000009
86	2.197904	0.001389
87	2.198157	0.000454
88	2.197766	0.000257
89	2.198050	0.000138
90	2.197958	0.000107
91	2.197853	0.000192
92	2.198010	0.000197
93	2.197790	0.000052
94	2.197870	0.000063
95	2.197812	0.000140
96	2.197313	0.000022
97	2.197420	0.000558
98	2.198608	0.000392
99	2.198193	0.001296
100	2.198007	0.000773
101	2.197382	0.000601
102	2.198211	0.000812
103	2.197454	0.000204
104	2.197887	0.000073
105	2.197899	0.000324
106	2.202369	0.000445
107	2.197732	0.004482
108	2.198469	0.000167
109	2.198184	0.003900
110	2.198062	0.000451
111	2.197044	0.000407
112	2.198322	0.001139
113	2.197594	0.000260
114	2.197912	0.000549
115	2.197979	0.000410
116	2.196541	0.000385
117	2.197890	0.001372
118	2.194921	0.000089
119	2.198783	0.001620
120	2.198594	0.000893
121	2.197960	0.003673
122	2.197829	0.000822
123	2.198392	0.000766
124	2.197762	0.000431
125	2.198100	0.000066
126	2.198058	0.000292
127	2.197908	0.000296
128	2.198182	0.000191
129	2.197972	0.000123
130	2.198071	0.000064
131	2.198144	0.000111
132	2.198044	0.000171
133	2.198272	0.000027
134	2.198218	0.000128
135	2.198420	0.000174
136	2.194912	0.000148
137	2.197188	0.003306
138	2.197904	0.001232
139	2.198079	0.002992
140	2.199987	0.000891
141	2.197987	0.002083
142	2.197011	0.000091
143	2.199427	0.002976
144	2.196761	0.001439
145	2.198022	0.000250
146	2.198012	0.001405
147	2.197230	0.001251
148	2.198037	0.000791
149	2.197381	0.000024
150	2.197539	0.000151
151	2.197605	0.000498
152	2.198245	0.000224
153	2.198350	0.000707
154	2.197951	0.000745
155	2.197120	0.000295
156	2.198231	0.001230
157	2.193602	0.000281
158	2.197872	0.003518
159	2.197806	0.000359
160	2.198467	0.004204
161	2.197404	0.000595
162	2.198103	0.000402
163	2.197983	0.000364
164	2.197779	0.000579
165	2.198086	0.000324
166	2.197749	0.000103
167	2.197904	0.000030
168	2.197887	0.000182
169	2.197380	0.000138
170	2.197743	0.000524
171	2.200356	0.000144
172	2.198435	0.002976
173	2.198172	0.000693
174	2.197851	0.002183
175	2.196698	0.000585
176	2.198018	0.001474
177	2.198545	0.000167
178	2.197154	0.001847
179	2.198720	0.000864
180	2.197973	0.000175
181	2.197994	0.000819
182	2.198522	0.000726
183	2.197970	0.000549
184	2.198503	0.000024
185	2.198388	0.000019
186	2.198376	0.000418
187	2.197682	0.000127
188	2.197586	0.000707
189	2.198021	0.000791
190	2.198491	0.000339
191	2.197669	0.000906
192	2.198657	0.000351
193	2.198042	0.000165
194	2.198067	0.000373
195	2.199603	0.000590
196	2.198118	0.001561
197	2.196508	0.000051
198	2.197364	0.003095
199	2.197695	0.000754
200	2.198124	0.001187
201	2.198352	0.000761
202	2.197898	0.000657
