x y interpolated
-3 -0.3 -0.123319
-2.94472 -0.304478 -0.186098
-2.88945 -0.309068 -0.243722
-2.83417 -0.313774 -0.296387
-2.77889 -0.318598 -0.344287
-2.72362 -0.323543 -0.387609
-2.66834 -0.328612 -0.426539
-2.61307 -0.333805 -0.461256
-2.55779 -0.339127 -0.491939
-2.50251 -0.344577 -0.518758
-2.44724 -0.350157 -0.541884
-2.39196 -0.355868 -0.561481
-2.33668 -0.361711 -0.577711
-2.28141 -0.367683 -0.590731
-2.22613 -0.373784 -0.600695
-2.17085 -0.380011 -0.607754
-2.11558 -0.38636 -0.612052
-2.0603 -0.392824 -0.613734
-2.00503 -0.399397 -0.612939
-1.94975 -0.406069 -0.609803
-1.89447 -0.412827 -0.604457
-1.8392 -0.419655 -0.597031
-1.78392 -0.426533 -0.58765
-1.72864 -0.433439 -0.576436
-1.67337 -0.440342 -0.563508
-1.61809 -0.447207 -0.548982
-1.56281 -0.453991 -0.532969
-1.50754 -0.460645 -0.515578
-1.45226 -0.467106 -0.496916
-1.39698 -0.473303 -0.477085
-1.34171 -0.479151 -0.456184
-1.28643 -0.484549 -0.43431
-1.23116 -0.48938 -0.411556
-1.17588 -0.493509 -0.388013
-1.1206 -0.496776 -0.363767
-1.06533 -0.499001 -0.338905
-1.01005 -0.499975 -0.313507
-0.954774 -0.499465 -0.287651
-0.899497 -0.497208 -0.261415
-0.844221 -0.492916 -0.234872
-0.788945 -0.486272 -0.208091
-0.733668 -0.476944 -0.181141
-0.678392 -0.464583 -0.154087
-0.623116 -0.448842 -0.126991
-0.567839 -0.429387 -0.0999143
-0.512563 -0.405919 -0.0729131
-0.457286 -0.378201 -0.0460428
-0.40201 -0.346079 -0.019356
-0.346734 -0.309522 0.00709749
-0.291457 -0.268637 0.0332698
-0.236181 -0.223702 0.0591156
-0.180905 -0.175172 0.0845919
-0.125628 -0.123676 0.109658
-0.0703518 -0.0700053 0.134275
-0.0150754 -0.015072 0.158407
0.040201 0.0401361 0.18202
0.0954774 0.0946149 0.205082
0.150754 0.147404 0.227562
0.20603 0.197641 0.249433
0.261307 0.244605 0.270669
0.316583 0.287744 0.291246
0.371859 0.326685 0.311141
0.427136 0.361231 0.330336
0.482412 0.391339 0.34881
0.537688 0.417101 0.366549
0.592965 0.438711 0.383537
0.648241 0.456438 0.399762
0.703518 0.4706 0.415211
0.758794 0.481539 0.429876
0.81407 0.489604 0.443749
0.869347 0.495139 0.456822
0.924623 0.498468 0.469092
0.979899 0.499897 0.480555
1.03518 0.499701 0.491209
1.09045 0.498131 0.501054
1.14573 0.495409 0.510091
1.20101 0.491729 0.518322
1.25628 0.487263 0.52575
1.31156 0.482158 0.532381
1.36683 0.476542 0.538222
1.42211 0.470524 0.543278
1.47739 0.464197 0.547559
1.53266 0.45764 0.551075
1.58794 0.45092 0.553836
1.64322 0.444093 0.555855
1.69849 0.437206 0.557143
1.75377 0.430298 0.557716
1.80905 0.423402 0.557587
1.86432 0.416543 0.556772
1.9196 0.409745 0.555289
1.97487 0.403025 0.553153
2.03015 0.396397 0.550384
