x y interpolated
-3 -0.3 -0.296332
-2.94472 -0.304478 -0.306788
-2.88945 -0.309068 -0.312559
-2.83417 -0.313774 -0.316151
-2.77889 -0.318598 -0.319124
-2.72362 -0.323543 -0.322359
-2.66834 -0.328612 -0.326273
-2.61307 -0.333805 -0.330979
-2.55779 -0.339127 -0.336408
-2.50251 -0.344577 -0.342398
-2.44724 -0.350157 -0.348756
-2.39196 -0.355868 -0.3553
-2.33668 -0.361711 -0.361881
-2.28141 -0.367683 -0.368396
-2.22613 -0.373784 -0.374793
-2.17085 -0.380011 -0.381066
-2.11558 -0.38636 -0.387246
-2.0603 -0.392824 -0.393395
-2.00503 -0.399397 -0.399588
-1.94975 -0.406069 -0.405907
-1.89447 -0.412827 -0.412427
-1.8392 -0.419655 -0.419208
-1.78392 -0.426533 -0.426288
-1.72864 -0.433439 -0.433671
-1.67337 -0.440342 -0.441333
-1.61809 -0.447207 -0.449208
-1.56281 -0.453991 -0.457197
-1.50754 -0.460645 -0.465165
-1.45226 -0.467106 -0.472944
-1.39698 -0.473303 -0.480338
-1.34171 -0.479151 -0.487125
-1.28643 -0.484549 -0.493068
-1.23116 -0.48938 -0.497917
-1.17588 -0.493509 -0.501416
-1.1206 -0.496776 -0.503311
-1.06533 -0.499001 -0.503358
-1.01005 -0.499975 -0.501324
-0.954774 -0.499465 -0.497
-0.899497 -0.497208 -0.4902
-0.844221 -0.492916 -0.480769
-0.788945 -0.486272 -0.468586
-0.733668 -0.476944 -0.453565
-0.678392 -0.464583 -0.435664
-0.623116 -0.448842 -0.414876
-0.567839 -0.429387 -0.391238
-0.512563 -0.405919 -0.364829
-0.457286 -0.378201 -0.335765
-0.40201 -0.346079 -0.3042
-0.346734 -0.309522 -0.270325
-0.291457 -0.268637 -0.234362
-0.236181 -0.223702 -0.196563
-0.180905 -0.175172 -0.157203
-0.125628 -0.123676 -0.116579
-0.0703518 -0.0700053 -0.0750027
-0.0150754 -0.015072 -0.0327973
0.040201 0.0401361 0.00970752
0.0954774 0.0946149 0.0521805
0.150754 0.147404 0.0942935
0.20603 0.197641 0.135726
0.261307 0.244605 0.176169
0.316583 0.287744 0.21533
0.371859 0.326685 0.252935
0.427136 0.361231 0.288732
0.482412 0.391339 0.322497
0.537688 0.417101 0.35403
0.592965 0.438711 0.383164
0.648241 0.456438 0.40976
0.703518 0.4706 0.433712
0.758794 0.481539 0.454946
0.81407 0.489604 0.47342
0.869347 0.495139 0.489123
0.924623 0.498468 0.502075
0.979899 0.499897 0.512325
1.03518 0.499701 0.519948
1.09045 0.498131 0.525046
1.14573 0.495409 0.527743
1.20101 0.491729 0.528184
1.25628 0.487263 0.52653
1.31156 0.482158 0.522959
1.36683 0.476542 0.517659
1.42211 0.470524 0.510826
1.47739 0.464197 0.502664
1.53266 0.45764 0.493376
1.58794 0.45092 0.483168
1.64322 0.444093 0.472241
1.69849 0.437206 0.460791
1.75377 0.430298 0.449005
1.80905 0.423402 0.43706
1.86432 0.416543 0.425121
1.9196 0.409745 0.413337
1.97487 0.403025 0.401845
2.03015 0.396397 0.390763
2.08543 0.389872 0.380191
2.1407 0.383459 0.370213
2.19598 0.377165 0.360895
2.25126 0.370995 0.352284
2.30653 0.364952 0.344409
2.36181 0.359039 0.337284
2.41709 0.353256 0.330906
2.47236 0.347604 0.325256
2.52764 0.342083 0.320304
2.58291 0.336692 0.316005
2.63819 0.331429 0.312306
2.69347 0.326292 0.309143
2.74874 0.32128 0.306448
2.80402 0.316391 0.304144
2.8593 0.31162 0.302155
2.91457 0.306967 0.3004
2.96985 0.302429 0.298801
3.02513 0.298001 0.29728
3.0804 0.293683 0.295765
3.13568 0.28947 0.294187
3.19095 0.28536 0.292484
3.24623 0.281351 0.290603
3.30151 0.277439 0.288497
3.35678 0.273621 0.28613
3.41206 0.269895 0.283475
3.46734 0.266259 0.280516
3.52261 0.262709 0.277246
3.57789 0.259243 0.273667
3.63317 0.255859 0.269794
3.68844 0.252553 0.265646
