x y interpolated
-3 -0.3 -0.3
-2.94472 -0.304478 -0.383114
-2.88945 -0.309068 -0.459564
-2.83417 -0.313774 -0.529604
-2.77889 -0.318598 -0.593483
-2.72362 -0.323543 -0.651443
-2.66834 -0.328612 -0.703724
-2.61307 -0.333805 -0.750557
-2.55779 -0.339127 -0.792171
-2.50251 -0.344577 -0.828789
-2.44724 -0.350157 -0.860628
-2.39196 -0.355868 -0.8879
-2.33668 -0.361711 -0.910813
-2.28141 -0.367683 -0.929571
-2.22613 -0.373784 -0.944372
-2.17085 -0.380011 -0.955407
-2.11558 -0.38636 -0.962867
-2.0603 -0.392824 -0.966935
-2.00503 -0.399397 -0.96779
-1.94975 -0.406069 -0.965606
-1.89447 -0.412827 -0.960555
-1.8392 -0.419655 -0.9528
-1.78392 -0.426533 -0.942505
-1.72864 -0.433439 -0.929824
-1.67337 -0.440342 -0.914912
-1.61809 -0.447207 -0.897915
-1.56281 -0.453991 -0.878979
-1.50754 -0.460645 -0.858242
-1.45226 -0.467106 -0.835841
-1.39698 -0.473303 -0.811906
-1.34171 -0.479151 -0.786566
-1.28643 -0.484549 -0.759944
-1.23116 -0.48938 -0.73216
-1.17588 -0.493509 -0.703328
-1.1206 -0.496776 -0.673563
-1.06533 -0.499001 -0.64297
-1.01005 -0.499975 -0.611656
-0.954774 -0.499465 -0.57972
-0.899497 -0.497208 -0.547259
-0.844221 -0.492916 -0.514368
-0.788945 -0.486272 -0.481135
-0.733668 -0.476944 -0.447649
-0.678392 -0.464583 -0.413991
-0.623116 -0.448842 -0.380241
-0.567839 -0.429387 -0.346476
-0.512563 -0.405919 -0.312769
-0.457286 -0.378201 -0.27919
-0.40201 -0.346079 -0.245804
-0.346734 -0.309522 -0.212677
-0.291457 -0.268637 -0.179869
-0.236181 -0.223702 -0.147436
-0.180905 -0.175172 -0.115433
-0.125628 -0.123676 -0.0839121
-0.0703518 -0.0700053 -0.0529218
-0.0150754 -0.015072 -0.0225079
0.040201 0.0401361 0.00728671
0.0954774 0.0946149 0.0364216
0.150754 0.147404 0.064859
0.20603 0.197641 0.0925641
0.261307 0.244605 0.119504
0.316583 0.287744 0.14565
0.371859 0.326685 0.170973
0.427136 0.361231 0.195449
0.482412 0.391339 0.219055
0.537688 0.417101 0.241771
0.592965 0.438711 0.263579
0.648241 0.456438 0.284463
0.703518 0.4706 0.304409
0.758794 0.481539 0.323406
0.81407 0.489604 0.341444
0.869347 0.495139 0.358516
0.924623 0.498468 0.374617
0.979899 0.499897 0.389743
1.03518 0.499701 0.403892
1.09045 0.498131 0.417065
1.14573 0.495409 0.429264
1.20101 0.491729 0.440491
1.25628 0.487263 0.450754
1.31156 0.482158 0.460058
1.36683 0.476542 0.468412
1.42211 0.470524 0.475827
1.47739 0.464197 0.482313
1.53266 0.45764 0.487885
1.58794 0.45092 0.492555
1.64322 0.444093 0.496341
1.69849 0.437206 0.499259
1.75377 0.430298 0.501326
1.80905 0.423402 0.502564
1.86432 0.416543 0.502991
1.9196 0.409745 0.502629
1.97487 0.403025 0.501502
2.03015 0.396397 0.499633
2.08543 0.389872 0.497046
2.1407 0.383459 0.493766
2.19598 0.377165 0.48982
2.25126 0.370995 0.485235
2.30653 0.364952 0.480038
2.36181 0.359039 0.474257
2.41709 0.353256 0.467923
2.47236 0.347604 0.461064
2.52764 0.342083 0.45371
2.58291 0.336692 0.445892
2.63819 0.331429 0.43764
2.69347 0.326292 0.428987
2.74874 0.32128 0.419964
2.80402 0.316391 0.410602
2.8593 0.31162 0.400935
2.91457 0.306967 0.390993
2.96985 0.302429 0.380811
3.02513 0.298001 0.370419
3.0804 0.293683 0.359852
3.13568 0.28947 0.34914
3.19095 0.28536 0.338317
3.24623 0.281351 0.327416
3.30151 0.277439 0.316467
3.35678 0.273621 0.305503
3.41206 0.269895 0.294556
3.46734 0.266259 0.283658
3.52261 0.262709 0.272837
3.57789 0.259243 0.262127
3.63317 0.255859 0.251555
3.68844 0.252553 0.241153
3.74372 0.249325 0.230948
3.79899 0.246171 0.220969
3.85427 0.243089 0.211243
3.90955 0.240077 0.201798
3.96482 0.237133 0.19266
4.0201 0.234255 0.183853
4.07538 0.231441 0.175402
4.13065 0.228689 0.167331
4.18593 0.225998 0.159662
4.24121 0.223364 0.152416
4.29648 0.220788 0.145614
4.35176 0.218267 0.139275
4.40704 0.215799 0.133417
4.46231 0.213383 0.128056
4.51759 0.211017 0.123209
4.57286 0.208701 0.11889
4.62814 0.206432 0.11511
4.68342 0.204209 0.111883
4.73869 0.202032 0.109217
4.79397 0.199897 0.10712
4.84925 0.197806 0.105601
4.90452 0.195755 0.104663
4.9598 0.193745 0.10431
5.01508 0.191774 0.104545
5.07035 0.189841 0.105366
5.12563 0.187944 0.106773
5.1809 0.186084 0.108761
5.23618 0.184258 0.111324
5.29146 0.182467 0.114456
5.34673 0.180709 0.118145
5.40201 0.178983 0.122381
5.45729 0.177288 0.12715
5.51256 0.175624 0.132435
5.56784 0.17399 0.138218
5.62312 0.172385 0.144478
5.67839 0.170809 0.151193
5.73367 0.16926 0.158337
5.78894 0.167738 0.165882
5.84422 0.166242 0.173798
5.8995 0.164772 0.182053
5.95477 0.163326 0.19061
6.01005 0.161906 0.199432
6.06533 0.160509 0.208478
6.1206 0.159135 0.217705
6.17588 0.157783 0.227067
6.23116 0.156454 0.236514
6.28643 0.155147 0.245994
6.34171 0.15386 0.255453
6.39698 0.152595 0.264833
6.45226 0.151349 0.274073
6.50754 0.150123 0.283108
6.56281 0.148916 0.291873
6.61809 0.147728 0.300295
6.67337 0.146558 0.308303
6.72864 0.145407 0.315819
6.78392 0.144273 0.322763
6.8392 0.143155 0.329051
6.89447 0.142055 0.334597
6.94975 0.140971 0.33931
7.00503 0.139904 0.343095
7.0603 0.138852 0.345856
7.11558 0.137815 0.347492
7.17085 0.136793 0.347896
7.22613 0.135786 0.346961
7.28141 0.134794 0.344575
7.33668 0.133815 0.34062
7.39196 0.132851 0.334977
7.44724 0.1319 0.327522
7.50251 0.130962 0.318126
7.55779 0.130037 0.306658
7.61307 0.129125 0.292981
7.66834 0.128226 0.276955
7.72362 0.127338 0.258436
7.77889 0.126463 0.237274
7.83417 0.125599 0.213317
7.88945 0.124747 0.186407
7.94472 0.123907 0.156382
8 0.123077 0.123077
