x y
-5 0.0384615
-4.9 0.0399181
-4.8 0.0413608
-4.7 0.0428377
-4.6 0.0443963
-4.5 0.0460844
-4.4 0.0479499
-4.3 0.0500404
-4.2 0.0524037
-4.1 0.0550877
-4 0.0581399
-3.9 0.0616083
-3.8 0.0655258
-3.7 0.069843
-3.6 0.0744819
-3.5 0.0793643
-3.4 0.0844122
-3.3 0.0895476
-3.2 0.0946922
-3.1 0.099768
-3 0.104697
-2.9 0.109401
-2.8 0.113802
-2.7 0.117872
-2.6 0.121982
-2.5 0.126694
-2.4 0.13257
-2.3 0.140172
-2.2 0.150064
-2.1 0.162808
-2 0.178965
-1.9 0.1991
-1.8 0.223774
-1.7 0.25355
-1.6 0.288909
-1.5 0.329398
-1.4 0.373957
-1.3 0.421518
-1.2 0.471011
-1.1 0.521368
-1 0.57152
-0.9 0.620397
-0.8 0.666932
-0.7 0.710054
-0.6 0.748695
-0.5 0.781817
-0.4 0.808929
-0.3 0.830017
-0.2 0.845079
-0.1 0.854117
-1.02696e-15 0.857129
0.1 0.854117
0.2 0.845079
0.3 0.830017
0.4 0.808929
0.5 0.781817
0.6 0.748695
0.7 0.710054
0.8 0.666932
0.9 0.620397
1 0.57152
1.1 0.521368
1.2 0.471011
1.3 0.421518
1.4 0.373957
1.5 0.329398
1.6 0.288909
1.7 0.25355
1.8 0.223774
1.9 0.1991
2 0.178965
2.1 0.162808
2.2 0.150064
2.3 0.140172
2.4 0.13257
2.5 0.126694
2.6 0.121982
2.7 0.117872
2.8 0.113802
2.9 0.109401
3 0.104697
3.1 0.099768
3.2 0.0946922
3.3 0.0895476
3.4 0.0844122
3.5 0.0793643
3.6 0.0744819
3.7 0.069843
3.8 0.0655258
3.9 0.0616083
4 0.0581399
4.1 0.0550877
4.2 0.0524037
4.3 0.0500404
4.4 0.0479499
4.5 0.0460844
4.6 0.0443963
4.7 0.0428377
4.8 0.0413608
4.9 0.0399181
5 0.0384615
