x y
-5 0.0384615
-4.9 0.0369889
-4.8 0.0354683
-4.7 0.0339873
-4.6 0.0326339
-4.5 0.0314959
-4.4 0.0306612
-4.3 0.0302175
-4.2 0.0302527
-4.1 0.0308547
-4 0.0321112
-3.9 0.0341101
-3.8 0.0369392
-3.7 0.0406864
-3.6 0.0454395
-3.5 0.0512862
-3.4 0.0583146
-3.3 0.0666123
-3.2 0.0762672
-3.1 0.0873672
-3 0.1
-2.9 0.114215
-2.8 0.129906
-2.7 0.146928
-2.6 0.165138
-2.5 0.18439
-2.4 0.204541
-2.3 0.225445
-2.2 0.246957
-2.1 0.268935
-2 0.291232
-1.9 0.313704
-1.8 0.336208
-1.7 0.358597
-1.6 0.380729
-1.5 0.402457
-1.4 0.423639
-1.3 0.444128
-1.2 0.463781
-1.1 0.482453
-1 0.5
-0.9 0.51629
-0.8 0.531247
-0.7 0.544807
-0.6 0.556906
-0.5 0.567481
-0.4 0.576468
-0.3 0.583804
-0.2 0.589425
-0.1 0.593268
-1.02696e-15 0.595269
0.1 0.595365
0.2 0.593492
0.3 0.589586
0.4 0.583584
0.5 0.575423
0.6 0.565039
0.7 0.552368
0.8 0.537347
0.9 0.519912
1 0.5
1.1 0.477604
1.2 0.452943
1.3 0.426294
1.4 0.397933
1.5 0.368137
1.6 0.33718
1.7 0.305341
1.8 0.272895
1.9 0.240118
2 0.207287
2.1 0.174677
2.2 0.142566
2.3 0.111229
2.4 0.0809426
2.5 0.0519832
2.6 0.024627
2.7 -0.000849731
2.8 -0.0241708
2.9 -0.0450599
3 -0.0632407
3.1 -0.0785134
3.2 -0.0909837
3.3 -0.100833
3.4 -0.108245
3.5 -0.113399
3.6 -0.11648
3.7 -0.117667
3.8 -0.117145
3.9 -0.115093
4 -0.111696
4.1 -0.107133
4.2 -0.101589
4.3 -0.0952434
4.4 -0.0882797
4.5 -0.0808795
4.6 -0.0732248
4.7 -0.0654976
4.8 -0.05788
4.9 -0.0505539
5 -0.0437012
