x y
-5 -0.839072
-4.9 -0.927339
-4.8 -0.976777
-4.7 -0.990731
-4.6 -0.972545
-4.5 -0.925564
-4.4 -0.853132
-4.3 -0.758595
-4.2 -0.645297
-4.1 -0.516582
-4 -0.375796
-3.9 -0.226283
-3.8 -0.071388
-3.7 0.0855448
-3.6 0.24117
-3.5 0.392144
-3.4 0.535121
-3.3 0.666757
-3.2 0.783707
-3.1 0.882626
-3 0.96017
-2.9 1.01383
-2.8 1.04447
-2.7 1.05376
-2.6 1.0434
-2.5 1.01508
-2.4 0.970485
-2.3 0.91131
-2.2 0.839243
-2.1 0.755972
-2 0.663189
-1.9 0.562582
-1.8 0.455841
-1.7 0.344656
-1.6 0.230717
-1.5 0.115712
-1.4 0.00133245
-1.3 -0.110733
-1.2 -0.218795
-1.1 -0.321162
-1 -0.416147
-0.9 -0.50234
-0.8 -0.57946
-0.7 -0.647507
-0.6 -0.706482
-0.5 -0.756383
-0.4 -0.797211
-0.3 -0.828967
-0.2 -0.851649
-0.1 -0.865259
-1.02696e-15 -0.869795
0.1 -0.865259
0.2 -0.851649
0.3 -0.828967
0.4 -0.797211
0.5 -0.756383
0.6 -0.706482
0.7 -0.647507
0.8 -0.57946
0.9 -0.50234
1 -0.416147
1.1 -0.321162
1.2 -0.218795
1.3 -0.110733
1.4 0.00133245
1.5 0.115712
1.6 0.230717
1.7 0.344656
1.8 0.455841
1.9 0.562582
2 0.663189
2.1 0.755972
2.2 0.839243
2.3 0.91131
2.4 0.970485
2.5 1.01508
2.6 1.0434
2.7 1.05376
2.8 1.04447
2.9 1.01383
3 0.96017
3.1 0.882626
3.2 0.783707
3.3 0.666757
3.4 0.535121
3.5 0.392144
3.6 0.24117
3.7 0.0855448
3.8 -0.071388
3.9 -0.226283
4 -0.375796
4.1 -0.516582
4.2 -0.645297
4.3 -0.758595
4.4 -0.853132
4.5 -0.925564
4.6 -0.972545
4.7 -0.990731
4.8 -0.976777
4.9 -0.927339
5 -0.839072
