x y
-5 0.0384615
-4.9 0.039195
-4.8 0.0405842
-4.7 0.0424578
-4.6 0.0446444
-4.5 0.0469728
-4.4 0.0492872
-4.3 0.0515732
-4.2 0.0538915
-4.1 0.056304
-4 0.0588723
-3.9 0.061657
-3.8 0.0646956
-3.7 0.0680003
-3.6 0.071582
-3.5 0.0754519
-3.4 0.079621
-3.3 0.0841118
-3.2 0.0889715
-3.1 0.0942508
-3 0.1
-2.9 0.10627
-2.8 0.113116
-2.7 0.120619
-2.6 0.128865
-2.5 0.137943
-2.4 0.147938
-2.3 0.158945
-2.2 0.171131
-2.1 0.184706
-2 0.199882
-1.9 0.21687
-1.8 0.235883
-1.7 0.257183
-1.6 0.28109
-1.5 0.307928
-1.4 0.338021
-1.3 0.371694
-1.2 0.40932
-1.1 0.451398
-1 0.498444
-0.9 0.550976
-0.8 0.609509
-0.7 0.674008
-0.6 0.741388
-0.5 0.807524
-0.4 0.868289
-0.3 0.919559
-0.2 0.95738
-0.1 0.980093
-1.02696e-15 0.987664
0.1 0.980093
0.2 0.95738
0.3 0.919559
0.4 0.86829
0.5 0.807524
0.6 0.741388
0.7 0.674008
0.8 0.609509
0.9 0.550975
1 0.498443
1.1 0.451396
1.2 0.409319
1.3 0.371694
1.4 0.338023
1.5 0.307933
1.6 0.281097
1.7 0.25719
1.8 0.235886
1.9 0.216864
2 0.199865
2.1 0.184681
2.2 0.171104
2.3 0.158929
2.4 0.147949
2.5 0.137994
2.6 0.128954
2.7 0.120723
2.8 0.113195
2.9 0.106264
3 0.0998486
3.1 0.0939498
3.2 0.0885858
3.3 0.083775
3.4 0.0795358
3.5 0.0758629
3.6 0.0725718
3.7 0.0693946
3.8 0.0660633
3.9 0.0623099
4 0.0578772
4.1 0.0527351
4.2 0.0470649
4.3 0.0410563
4.4 0.0348986
4.5 0.0287814
4.6 0.0228873
4.7 0.0173861
4.8 0.0124462
4.9 0.00823611
5 0.00492414
