x y
-5 -0.839072
-4.9 -0.918091
-4.8 -0.941869
-4.7 -0.916873
-4.6 -0.849571
-4.5 -0.746434
-4.4 -0.613929
-4.3 -0.458525
-4.2 -0.28669
-4.1 -0.104894
-4 0.0803955
-3.9 0.26271
-3.8 0.435579
-3.7 0.592537
-3.6 0.727112
-3.5 0.832838
-3.4 0.903245
-3.3 0.931938
-3.2 0.916904
-3.1 0.862922
-3 0.775355
-2.9 0.659568
-2.8 0.520925
-2.7 0.36479
-2.6 0.196525
-2.5 0.021496
-2.4 -0.154934
-2.3 -0.327402
-2.2 -0.490543
-2.1 -0.638994
-2 -0.767391
-1.9 -0.870369
-1.8 -0.942566
-1.7 -0.978617
-1.6 -0.973679
-1.5 -0.928962
-1.4 -0.849583
-1.3 -0.740722
-1.2 -0.60756
-1.1 -0.455279
-1 -0.289058
-0.9 -0.114079
-0.8 0.064477
-0.7 0.24143
-0.6 0.411598
-0.5 0.5698
-0.4 0.710856
-0.3 0.829585
-0.2 0.920806
-0.1 0.979338
-1.02696e-15 1
0.1 0.979338
0.2 0.920806
0.3 0.829585
0.4 0.710856
0.5 0.5698
0.6 0.411598
0.7 0.24143
0.8 0.064477
0.9 -0.114079
1 -0.289058
1.1 -0.455279
1.2 -0.60756
1.3 -0.740722
1.4 -0.849583
1.5 -0.928962
1.6 -0.973679
1.7 -0.978617
1.8 -0.942566
1.9 -0.870369
2 -0.767391
2.1 -0.638994
2.2 -0.490543
2.3 -0.327402
2.4 -0.154934
2.5 0.021496
2.6 0.196525
2.7 0.36479
2.8 0.520925
2.9 0.659568
3 0.775355
3.1 0.862922
3.2 0.916904
3.3 0.931938
3.4 0.903245
3.5 0.832838
3.6 0.727112
3.7 0.592537
3.8 0.435579
3.9 0.26271
4 0.0803955
4.1 -0.104894
4.2 -0.28669
4.3 -0.458525
4.4 -0.613929
4.5 -0.746434
4.6 -0.849571
4.7 -0.916873
4.8 -0.941869
4.9 -0.918091
5 -0.839072
