x y
-5 -3.05405
-4.9 -3.00056
-4.8 -2.94521
-4.7 -2.88794
-4.6 -2.82871
-4.5 -2.76744
-4.4 -2.70408
-4.3 -2.63857
-4.2 -2.57085
-4.1 -2.50087
-4 -2.42857
-3.9 -2.35391
-3.8 -2.27685
-3.7 -2.19735
-3.6 -2.11538
-3.5 -2.03093
-3.4 -1.94397
-3.3 -1.85452
-3.2 -1.76259
-3.1 -1.66821
-3 -1.57143
-2.9 -1.47232
-2.8 -1.37097
-2.7 -1.2675
-2.6 -1.16205
-2.5 -1.05479
-2.4 -0.945946
-2.3 -0.835743
-2.2 -0.724466
-2.1 -0.612431
-2 -0.5
-1.9 -0.387572
-1.8 -0.275591
-1.7 -0.16454
-1.6 -0.0549451
-1.5 0.0526316
-1.4 0.157593
-1.3 0.259313
-1.2 0.357143
-1.1 0.450416
-1 0.538462
-0.9 0.620609
-0.8 0.696203
-0.7 0.764612
-0.6 0.825243
-0.5 0.877551
-0.4 0.921053
-0.3 0.955335
-0.2 0.980066
-0.1 0.995004
-1.02696e-15 1
0.1 0.995004
0.2 0.980066
0.3 0.955335
0.4 0.921053
0.5 0.877551
0.6 0.825243
0.7 0.764612
0.8 0.696203
0.9 0.620609
1 0.538462
1.1 0.450416
1.2 0.357143
1.3 0.259313
1.4 0.157593
1.5 0.0526316
1.6 -0.0549451
1.7 -0.16454
1.8 -0.275591
1.9 -0.387572
2 -0.5
2.1 -0.612431
2.2 -0.724466
2.3 -0.835743
2.4 -0.945946
2.5 -1.05479
2.6 -1.16205
2.7 -1.2675
2.8 -1.37097
2.9 -1.47232
3 -1.57143
3.1 -1.66821
3.2 -1.76259
3.3 -1.85452
3.4 -1.94397
3.5 -2.03093
3.6 -2.11538
3.7 -2.19735
3.8 -2.27685
3.9 -2.35391
4 -2.42857
4.1 -2.50087
4.2 -2.57085
4.3 -2.63857
4.4 -2.70408
4.5 -2.76744
4.6 -2.82871
4.7 -2.88794
4.8 -2.94521
4.9 -3.00056
5 -3.05405
