x y
-5 0.0251734
-4.9 0.0236786
-4.8 0.0223273
-4.7 0.0211252
-4.6 0.0200786
-4.5 0.0191942
-4.4 0.0184794
-4.3 0.0179421
-4.2 0.0175907
-4.1 0.0174345
-4 0.0174832
-3.9 0.0177474
-3.8 0.0182382
-3.7 0.0189675
-3.6 0.0199478
-3.5 0.0211919
-3.4 0.0227131
-3.3 0.0245245
-3.2 0.0266386
-3.1 0.0290669
-3 0.0318182
-2.9 0.0348972
-2.8 0.0383022
-2.7 0.0420208
-2.6 0.0460245
-2.5 0.0502595
-2.4 0.0546326
-2.3 0.0589887
-2.2 0.063073
-2.1 0.0664663
-2 0.0684685
-1.9 0.0678753
-1.8 0.0625175
-1.7 0.0482046
-1.6 0.0159378
-1.5 -0.0571656
-1.4 -0.249768
-1.3 -1.12015
-1.2 3.30523
-1.1 1.19552
-1 0.92619
-0.9 0.847978
-0.8 0.830462
-0.7 0.840142
-0.6 0.863683
-0.5 0.893877
-0.4 0.925751
-0.3 0.955301
-0.2 0.979153
-0.1 0.994635
-1.02696e-15 1
0.1 0.994635
0.2 0.979153
0.3 0.955301
0.4 0.925751
0.5 0.893877
0.6 0.863683
0.7 0.840142
0.8 0.830462
0.9 0.847978
1 0.92619
1.1 1.19552
1.2 3.30523
1.3 -1.12015
1.4 -0.249768
1.5 -0.0571656
1.6 0.0159378
1.7 0.0482046
1.8 0.0625175
1.9 0.0678753
2 0.0684685
2.1 0.0664663
2.2 0.063073
2.3 0.0589887
2.4 0.0546326
2.5 0.0502595
2.6 0.0460245
2.7 0.0420208
2.8 0.0383022
2.9 0.0348972
3 0.0318182
3.1 0.0290669
3.2 0.0266386
3.3 0.0245245
3.4 0.0227131
3.5 0.0211919
3.6 0.0199478
3.7 0.0189675
3.8 0.0182382
3.9 0.0177474
4 0.0174832
4.1 0.0174345
4.2 0.0175907
4.3 0.0179421
4.4 0.0184794
4.5 0.0191942
4.6 0.0200786
4.7 0.0211252
4.8 0.0223273
4.9 0.0236786
5 0.0251734
