x1	x2	x3	xm	F[x1,x2]	F[x1,x2,x3]
1.5	-0.89	-0.48	-0.481093	4.55801	2.89916
-0.481093	-0.89	-0.48	-0.449983	-1.18507	2.5154
-0.481093	-0.449983	-0.48	-0.375982	-0.131686	0.735218
-0.375982	-0.449983	-0.48	-0.345297	-0.0740126	0.546737
-0.375982	-0.345297	-0.48	-0.314368	-0.036824	0.39791
-0.375982	-0.345297	-0.314368	-0.274896	-0.036824	0.214733
-0.274896	-0.345297	-0.314368	-0.24738	-0.017946	0.143073
-0.274896	-0.24738	-0.314368	-0.221201	-0.00735367	0.092065
-0.274896	-0.24738	-0.221201	-0.19691	-0.00735367	0.0572467
-0.19691	-0.24738	-0.221201	-0.176131	-0.00338606	0.0367936
-0.19691	-0.176131	-0.221201	-0.157269	-0.00136854	0.0233923
-0.19691	-0.176131	-0.157269	-0.140382	-0.00136854	0.0148309
-0.140382	-0.176131	-0.157269	-0.1254	-0.000621031	0.00945076
-0.140382	-0.1254	-0.157269	-0.111976	-0.000251313	0.00600772
-0.140382	-0.1254	-0.111976	-0.0999901	-0.000251313	0.0038192
-0.0999901	-0.1254	-0.111976	-0.0892963	-0.000113702	0.00242963
-0.0999901	-0.0892963	-0.111976	-0.0797405	-4.60467e-05	0.00154492
-0.0999901	-0.0892963	-0.0797405	-0.0712085	-4.60467e-05	0.000982448
-0.0712085	-0.0892963	-0.0797405	-0.0635901	-2.08216e-05	0.000624813
-0.0712085	-0.0635901	-0.0797405	-0.0567861	-8.43398e-06	0.000397333
-0.0712085	-0.0635901	-0.0567861	-0.0507103	-8.43398e-06	0.000252681
-0.0507103	-0.0635901	-0.0567861	-0.0452846	-3.81338e-06	0.000160691
-0.0507103	-0.0452846	-0.0567861	-0.0404394	-1.54471e-06	0.00010219
-0.0507103	-0.0452846	-0.0404394	-0.0361126	-1.54471e-06	6.49865e-05
-0.0361126	-0.0452846	-0.0404394	-0.0322488	-6.98425e-07	4.13276e-05
-0.0361126	-0.0322488	-0.0404394	-0.0287983	-2.82917e-07	2.62819e-05
-0.0361126	-0.0322488	-0.0287983	-0.0257171	-2.82917e-07	1.67137e-05
-0.0257171	-0.0322488	-0.0287983	-0.0229655	-1.27918e-07	1.06289e-05
-0.0257171	-0.0229655	-0.0287983	-0.0205083	-5.1817e-08	6.75938e-06
-0.0257171	-0.0229655	-0.0205083	-0.018314	-5.1817e-08	4.29856e-06
-0.018314	-0.0229655	-0.0205083	-0.0163545	-2.34285e-08	2.73363e-06
-0.018314	-0.0163545	-0.0205083	-0.0146047	-9.4904e-09	1.73843e-06
-0.018314	-0.0163545	-0.0146047	-0.0130421	-9.4904e-09	1.10554e-06
-0.0130421	-0.0163545	-0.0146047	-0.0116466	-4.29098e-09	7.03056e-07
-0.0130421	-0.0116466	-0.0146047	-0.0104005	-1.73819e-09	4.47102e-07
-0.0130421	-0.0116466	-0.0104005	-0.00928771	-1.73819e-09	2.8433e-07
-0.00928771	-0.0116466	-0.0104005	-0.00829398	-7.85902e-10	1.80817e-07
-0.00928771	-0.00829398	-0.0104005	-0.00740657	-3.18353e-10	1.14989e-07
-0.00928771	-0.00829398	-0.00740657	-0.00661411	-3.18353e-10	7.31262e-08
-0.00661411	-0.00829398	-0.00740657	-0.00590643	-1.4394e-10	4.65039e-08
-0.00661411	-0.00590643	-0.00740657	-0.00527448	-5.83071e-11	2.95737e-08
-0.00661411	-0.00590643	-0.00527448	-0.00471014	-5.83071e-11	1.88071e-08
-0.00471014	-0.00590643	-0.00527448	-0.00420618	-2.63629e-11	1.19602e-08
-0.00471014	-0.00420618	-0.00527448	-0.00375614	-1.06791e-11	7.606e-09
-0.00471014	-0.00420618	-0.00375614	-0.00335426	-1.06791e-11	4.83696e-09
-0.00335426	-0.00420618	-0.00375614	-0.00299537	-4.82843e-12	3.07602e-09
-0.00335426	-0.00299537	-0.00375614	-0.00267488	-1.9559e-12	1.95617e-09
-0.00335426	-0.00299537	-0.00267488	-0.00238868	-1.9559e-12	1.24401e-09
-0.00238868	-0.00299537	-0.00267488	-0.00213311	-8.84337e-13	7.91115e-10
-0.00238868	-0.00213311	-0.00267488	-0.00190488	-3.58227e-13	5.03102e-10
-0.00238868	-0.00213311	-0.00190488	-0.00170107	-3.58227e-13	3.19943e-10
-0.00170107	-0.00213311	-0.00190488	-0.00151906	-1.61968e-13	2.03465e-10
-0.00170107	-0.00151906	-0.00190488	-0.00135653	-6.56102e-14	1.29392e-10
-0.00170107	-0.00151906	-0.00135653	-0.00121139	-6.56102e-14	8.22854e-11
-0.00121139	-0.00151906	-0.00135653	-0.00108178	-2.96649e-14	5.23286e-11
-0.00121139	-0.00108178	-0.00135653	-0.000966033	-1.20167e-14	3.32779e-11
-0.00121139	-0.00108178	-0.000966033	-0.000862673	-1.20167e-14	2.11628e-11
