i Re Im
0 8.13118 0
1 -1.38729 -128.746
2 0.0928146 -126.243
3 3.88434 -127.303
4 -5.71311 -3.04334
5 -7.12737 -7.61755
6 2.85136 3.64526
7 -6.53663 -6.45834
8 -1.16972 -10.4434
9 -5.9165 9.21256
10 -5.98042 -2.59478
11 -5.74579 -2.79806
12 -5.62458 -2.95145
13 -10.8951 -1.85299
14 6.07976 1.63837
15 14.4313 -7.52534
16 0.220991 7.14431
17 10.9583 5.65075
18 2.28034 4.87819
19 -9.65949 9.59158
20 8.0785 1.40661
21 11.0339 -1.66225
22 0.563452 -0.404985
23 -4.33664 6.8395
24 8.8503 -12.7646
25 8.86105 -1.38777
26 -2.24006 -6.28347
27 -4.26276 -7.26611
28 2.87416 10.1213
29 -5.12726 8.33598
30 -0.432739 2.33314
31 9.14124 -2.04559
32 -0.0294273 -2.51522
33 1.91377 -10.7326
34 -4.4133 -11.3105
35 3.51097 0.584478
36 4.42252 -7.64874
37 -5.97396 3.01412
38 4.98721 5.18254
39 -0.0362971 1.96195
40 1.30236 7.87799
41 4.50312 -5.8429
42 -1.18066 -1.53179
43 0.9811 3.92146
44 16.5918 -1.84836
45 -3.69208 6.03191
46 1.65733 -1.84329
47 10.6556 -1.53402
48 1.66976 -4.45499
49 7.38169 5.54716
50 2.8492 -0.357569
51 7.38352 6.45777
52 -0.267908 -1.93954
53 -2.52463 4.52739
54 0.0733109 -0.116906
55 8.61181 14.1136
56 1.17837 2.11871
57 4.93203 0.997503
58 -2.722 -6.55922
59 9.70993 6.77945
60 0.120709 -1.94412
61 -3.01966 1.68904
62 -2.70575 -5.32962
63 12.7363 8.43465
64 -1.80015 -10.6244
65 -3.40892 -0.424454
66 5.25574 -0.603394
67 -5.57853 -2.30011
68 1.46473 7.49866
69 -0.573006 -0.869784
70 7.52127 -7.37595
71 -6.08433 1.99899
72 11.5798 9.54609
73 -5.96101 11.1577
74 -1.61698 3.38876
75 10.4437 -1.17394
76 0.574257 -3.01572
77 -5.25434 -3.9203
78 -4.82452 4.81157
79 -14.1217 -20.5859
80 2.38484 -0.232286
81 -7.93765 -2.83229
82 11.3186 4.04112
83 1.96659 -8.21763
84 -12.3478 -5.33448
85 -7.81803 -16.7876
86 -7.29146 1.4749
87 -4.08416 8.0543
88 -1.57846 -1.21188
89 1.54139 -7.02184
90 -0.343452 -0.762334
91 14.7401 7.92747
92 5.36754 9.64828
93 0.0581325 13.8981
94 -5.07606 -7.05314
95 -1.91068 -1.38454
96 -5.63744 7.54519
97 -4.62869 -9.70137
98 10.5271 5.65151
99 -9.10223 5.63195
100 -8.6039 3.20469
101 -9.34215 -2.60582
102 -3.89085 -1.97989
103 3.16308 6.2077
104 14.4495 8.70055
105 12.8208 -8.85434
106 -4.48318 -5.78766
107 3.73596 4.32617
108 -5.87137 5.40929
109 0.297381 -3.14703
110 -4.50485 7.08907
111 8.11593 10.0538
112 9.71961 7.43928
113 -10.3949 1.78929
114 -1.53718 1.46113
115 -4.13352 2.13713
116 11.905 -5.32019
117 -0.980625 1.27382
118 7.36204 5.62101
119 -14.5809 -3.50541
120 2.80827 0.0773039
121 -2.83438 10.4768
122 -9.6719 0.0983565
123 -11.4098 8.96655
124 -2.90409 -3.13629
125 -1.44344 -3.01855
126 -7.31495 -15.4287
127 4.43311 -0.793937
128 -0.732771 0
129 4.43311 0.793937
130 -7.31495 15.4287
131 -1.44344 3.01855
132 -2.90409 3.13629
133 -11.4098 -8.96655
134 -9.6719 -0.0983565
135 -2.83438 -10.4768
136 2.80827 -0.0773039
137 -14.5809 3.50541
138 7.36204 -5.62101
139 -0.980625 -1.27382
140 11.905 5.32019
141 -4.13352 -2.13713
142 -1.53718 -1.46113
143 -10.3949 -1.78929
144 9.71961 -7.43928
145 8.11593 -10.0538
146 -4.50485 -7.08907
147 0.297381 3.14703
148 -5.87137 -5.40929
149 3.73596 -4.32617
150 -4.48318 5.78766
151 12.8208 8.85434
152 14.4495 -8.70055
153 3.16308 -6.2077
154 -3.89085 1.97989
155 -9.34215 2.60582
156 -8.6039 -3.20469
157 -9.10223 -5.63195
158 10.5271 -5.65151
159 -4.62869 9.70137
160 -5.63744 -7.54519
161 -1.91068 1.38454
162 -5.07606 7.05314
163 0.0581325 -13.8981
164 5.36754 -9.64828
165 14.7401 -7.92747
166 -0.343452 0.762334
