i Re Im
0 0.0158876 -4.996e-16
1 0.0514033 -5.05347e-16
2 0.0869017 -3.68737e-16
3 0.122375 -3.541e-16
4 0.157815 -1.17528e-16
5 0.193214 -3.64292e-16
6 0.228564 -1.75207e-16
7 0.263857 -1.94289e-16
8 0.299086 -3.64292e-17
9 0.334241 -7.45931e-17
10 0.369317 -1.07553e-16
11 0.404303 -4.64906e-16
12 0.439194 -1.00614e-16
13 0.473981 -3.46945e-16
14 0.508657 -2.42861e-16
15 0.543213 -4.51028e-16
16 0.577642 1.73472e-16
17 0.611937 1.80411e-16
18 0.646089 4.3715e-16
19 0.680092 2.08167e-16
20 0.713937 4.78784e-16
21 0.747618 -1.249e-16
22 0.781126 9.71445e-17
23 0.814456 -1.249e-16
24 0.847598 -2.35922e-16
25 0.880546 -1.66533e-16
26 0.913293 -9.71445e-17
27 0.945832 -2.35922e-16
28 0.978155 -2.77556e-17
29 1.01026 -3.05311e-16
30 1.04213 8.32667e-17
31 1.07376 -4.16334e-17
32 1.10515 7.21645e-16
33 1.1363 4.71845e-16
34 1.16718 6.93889e-16
35 1.1978 5.82867e-16
36 1.22816 8.60423e-16
37 1.25823 5.82867e-16
38 1.28803 7.49401e-16
39 1.31753 4.44089e-16
40 1.34674 3.60822e-16
41 1.37565 3.60822e-16
42 1.40425 6.66134e-16
43 1.43254 8.32667e-17
44 1.46051 4.996e-16
45 1.48816 2.77556e-16
46 1.51547 2.77556e-16
47 1.54245 -1.94289e-16
48 1.56909 6.38378e-16
49 1.59538 3.33067e-16
50 1.62132 6.10623e-16
51 1.6469 1.66533e-16
52 1.67212 7.21645e-16
53 1.69697 2.77556e-16
54 1.72145 3.33067e-16
55 1.74555 -1.11022e-16
56 1.76927 -2.22045e-16
57 1.79261 -3.33067e-16
58 1.81555 -3.33067e-16
59 1.8381 -6.10623e-16
60 1.86025 -2.77556e-16
61 1.882 -6.66134e-16
62 1.90334 -2.22045e-16
63 1.92427 -2.22045e-16
64 1.94478 -5.55112e-17
65 1.96488 -2.22045e-16
66 1.98455 5.55112e-17
67 2.0038 1.66533e-16
68 2.02262 3.88578e-16
69 2.041 0
70 2.05896 1.66533e-16
71 2.07647 -2.77556e-16
72 2.09355 -2.22045e-16
73 2.11018 -3.33067e-16
74 2.12636 -3.88578e-16
75 2.1421 -8.88178e-16
76 2.15738 -4.996e-16
77 2.17222 -7.77156e-16
78 2.1866 -3.33067e-16
79 2.20052 -8.88178e-16
80 2.21398 5.55112e-17
81 2.22699 -3.88578e-16
82 2.23953 -1.11022e-16
83 2.25161 -1.11022e-16
84 2.26322 2.22045e-16
85 2.27437 -2.77556e-16
86 2.28506 -2.77556e-16
87 2.29527 -6.66134e-16
88 2.30502 -6.10623e-16
89 2.3143 -8.32667e-16
90 2.32311 -6.10623e-16
91 2.33145 -9.99201e-16
92 2.33932 -5.55112e-16
93 2.34673 -9.4369e-16
94 2.35366 -7.21645e-16
95 2.36012 -9.99201e-16
96 2.36611 -5.55112e-17
97 2.37164 -4.996e-16
98 2.37669 -3.33067e-16
99 2.38128 -3.88578e-16
100 2.3854 -1.11022e-16
101 2.38905 -6.10623e-16
102 2.39224 -3.33067e-16
103 2.39497 -8.32667e-16
104 2.39723 -7.21645e-16
105 2.39903 -7.77156e-16
106 2.40037 -5.27356e-16
107 2.40126 -9.99201e-16
108 2.40168 -5.55112e-16
109 2.40166 -8.88178e-16
110 2.40118 -6.38378e-16
111 2.40025 -9.71445e-16
112 2.39887 -3.05311e-16
113 2.39705 -6.93889e-16
114 2.39478 -3.88578e-16
115 2.39208 -7.21645e-16
116 2.38894 -2.498e-16
117 2.38536 -5.82867e-16
118 2.38135 -5.27356e-16
119 2.37691 -8.32667e-16
120 2.37204 -1.02696e-15
121 2.36676 -1.06859e-15
122 2.36105 -7.63278e-16
123 2.35493 -1.08247e-15
124 2.3484 -9.78384e-16
125 2.34146 -9.57567e-16
126 2.33412 -1.20737e-15
127 2.32637 -1.45023e-15
128 2.31823 -1.26234e-15
129 2.3097 -1.60809e-15
130 2.30078 -1.25941e-15
131 2.29147 -1.42941e-15
132 2.28179 -1.05471e-15
133 2.27173 -1.38084e-15
134 2.26131 -1.09635e-15
135 2.25051 -1.20737e-15
136 2.23936 -1.44329e-15
137 2.22785 -1.60982e-15
138 2.21599 -1.23512e-15
139 2.20378 -1.38778e-15
140 2.19124 -1.08247e-15
141 2.17836 -1.4988e-15
142 2.16514 -1.47105e-15
143 2.15161 -1.80411e-15
144 2.13775 -1.47105e-15
145 2.12358 -1.4988e-15
146 2.10911 -1.249e-15
147 2.09432 -1.36002e-15
148 2.07925 -1.02696e-15
149 2.06388 -1.44329e-15
150 2.04823 -1.16573e-15
151 2.03229 -1.36002e-15
152 2.01609 -1.4988e-15
153 1.99961 -1.77636e-15
154 1.98288 -1.16573e-15
155 1.96589 -1.66533e-15
156 1.94865 -1.11022e-15
157 1.93117 -1.22125e-15
158 1.91345 -9.4369e-16
159 1.8955 -1.33227e-15
160 1.87733 -8.32667e-16
161 1.85894 -1.16573e-15
162 1.84034 -8.88178e-16
163 1.82154 -1.05471e-15
164 1.80253 -8.32667e-16
165 1.78334 -7.21645e-16
166 1.76396 -6.66134e-16
167 1.7444 -8.32667e-16
168 1.72467 -1.05471e-15
169 1.70478 -1.22125e-15
170 1.68473 -1.05471e-15
171 1.66452 -9.99201e-16
172 1.64418 -1.05471e-15
173 1.62369 -1.27676e-15
174 1.60307 -1.38778e-15
175 1.58233 -1.27676e-15
176 1.56147 -1.27676e-15
177 1.5405 -1.55431e-15
178 1.51942 -1.33227e-15
179 1.49825 -1.11022e-15
180 1.47699 -9.4369e-16
181 1.45564 -1.11022e-15
182 1.43422 -1.05471e-15
183 1.41272 -1.11022e-15
184 1.39117 -1.27676e-15
185 1.36955 -1.52656e-15
186 1.34789 -1.33227e-15
187 1.32618 -1.38778e-15
188 1.30444 -1.22125e-15
189 1.28266 -1.33227e-15
190 1.26086 -1.249e-15
191 1.23905 -1.36002e-15
192 1.21723 -1.16573e-15
193 1.1954 -1.38778e-15
194 1.17358 -1.249e-15
195 1.15176 -1.249e-15
196 1.12997 -9.99201e-16
197 1.10819 -9.99201e-16
198 1.08645 -9.4369e-16
199 1.06474 -1.05471e-15
200 1.04307 -1.30451e-15
201 1.02145 -1.22125e-15
202 0.999888 -1.16573e-15
203 0.978385 -9.71445e-16
204 0.956949 -1.05471e-15
205 0.935587 -1.249e-15
206 0.914303 -1.1241e-15
207 0.893105 -1.06859e-15
208 0.871999 -1.19349e-15
209 0.85099 -1.26288e-15
210 0.830084 -1.249e-15
211 0.809286 -9.99201e-16
212 0.788604 -9.57567e-16
213 0.768042 -8.18789e-16
214 0.747605 -8.88178e-16
215 0.727301 -1.02696e-15
216 0.707133 -1.06859e-15
217 0.687107 -1.13104e-15
218 0.66723 -9.78384e-16
219 0.647505 -9.71445e-16
220 0.627938 -7.97973e-16
221 0.608535 -7.77156e-16
222 0.589299 -9.15934e-16
223 0.570237 -9.78384e-16
224 0.551353 -1.02696e-15
225 0.532652 -1.10328e-15
226 0.514139 -1.02696e-15
227 0.495817 -9.4369e-16
228 0.477692 -7.91034e-16
229 0.459769 -6.93889e-16
230 0.442051 -7.42462e-16
231 0.424542 -7.42462e-16
232 0.407248 -7.49401e-16
233 0.390171 -7.25114e-16
234 0.373316 -6.38378e-16
235 0.356688 -4.19803e-16
236 0.340289 -4.90927e-16
237 0.324123 -5.30825e-16
238 0.308194 -5.41234e-16
239 0.292506 -2.01228e-16
240 0.277062 -6.10623e-16
241 0.261865 -5.3603e-16
242 0.246918 -5.60316e-16
243 0.232224 -2.30718e-16
244 0.217788 -2.41127e-16
245 0.20361 -2.06432e-16
246 0.189695 -2.00361e-16
247 0.176045 -2.64545e-16
248 0.162662 -1.47885e-16
249 0.14955 -2.35055e-16
250 0.136709 -2.34188e-17
251 0.124143 -9.75782e-17
252 0.111854 -4.22839e-17
253 0.0998443 -1.99493e-17
254 0.0881149 -6.97142e-17
255 0.0766683 -2.67798e-17
256 0.065506 2.18014e-16
257 0.0546298 1.37612e-16
258 0.0440411 9.71445e-17
259 0.0337413 1.92771e-16
260 0.0237318 2.30068e-16
261 0.0140137 2.51969e-16
262 0.00458817 1.42247e-16
263 -0.00454387 1.0365e-16
264 -0.0133815 6.85216e-17
265 -0.0219241 7.89299e-17
266 -0.0301708 9.28077e-17
267 -0.0381213 3.18322e-16
268 -0.045775 7.37257e-17
269 -0.0531316 1.05818e-16
270 -0.0601909 6.93889e-17
271 -0.0669529 3.60822e-16
272 -0.0734174 1.9082e-17
273 -0.0795847 -4.68375e-17
274 -0.0854549 -2.77556e-17
275 -0.0910283 1.80411e-16
276 -0.0963055 2.08167e-17
277 -0.101287 2.63678e-16
278 -0.105973 2.11636e-16
279 -0.110365 1.42247e-16
280 -0.114463 2.67147e-16
281 -0.118269 1.76942e-16
282 -0.121783 2.42861e-16
283 -0.125007 1.249e-16
284 -0.127941 1.04083e-16
285 -0.130588 1.38778e-16
286 -0.132948 9.71445e-17
287 -0.135024 2.498e-16
288 -0.136817 7.63278e-17
289 -0.138328 5.55112e-17
290 -0.13956 1.04083e-16
291 -0.140514 6.93889e-17
292 -0.141193 2.77556e-17
293 -0.141598 1.8735e-16
294 -0.141732 1.38778e-17
295 -0.141597 1.249e-16
296 -0.141196 8.32667e-17
297 -0.140531 4.16334e-17
298 -0.139605 1.11022e-16
299 -0.138419 3.33067e-16
300 -0.136978 2.498e-16
301 -0.135284 1.94289e-16
302 -0.13334 2.35922e-16
303 -0.131148 4.30211e-16
304 -0.128712 2.08167e-16
305 -0.126036 1.38778e-16
306 -0.123122 1.94289e-16
307 -0.119973 2.77556e-16
308 -0.116594 1.66533e-16
309 -0.112987 3.60822e-16
310 -0.109156 1.94289e-16
311 -0.105104 3.33067e-16
312 -0.100836 3.05311e-16
313 -0.0963554 3.33067e-16
314 -0.0916654 3.88578e-16
315 -0.0867702 3.60822e-16
316 -0.0816737 3.33067e-16
317 -0.07638 3.33067e-16
318 -0.070893 3.33067e-16
319 -0.0652169 3.60822e-16
320 -0.0593559 4.71845e-16
321 -0.0533143 3.05311e-16
322 -0.0470962 3.60822e-16
323 -0.040706 1.38778e-16
324 -0.0341482 3.88578e-16
325 -0.0274271 2.77556e-16
326 -0.0205472 4.44089e-16
327 -0.0135131 4.44089e-16
328 -0.00632925 3.88578e-16
329 0.000999641 4.44089e-16
330 0.00846897 3.33067e-16
331 0.0160741 5.55112e-16
332 0.0238102 4.996e-16
333 0.0316726 6.10623e-16
334 0.0396565 3.33067e-16
335 0.0477571 5.55112e-16
336 0.0559695 4.44089e-16
337 0.0642889 6.10623e-16
338 0.0727105 6.10623e-16
339 0.0812292 6.10623e-16
340 0.0898401 7.21645e-16
341 0.0985384 8.88178e-16
342 0.107319 1.05471e-15
343 0.116177 8.88178e-16
344 0.125107 9.99201e-16
345 0.134105 9.4369e-16
346 0.143165 8.32667e-16
347 0.152282 7.77156e-16
348 0.161451 8.32667e-16
349 0.170668 7.21645e-16
350 0.179927 9.4369e-16
351 0.189223 9.4369e-16
352 0.198551 1.05471e-15
353 0.207907 1.16573e-15
354 0.217284 1.22125e-15
355 0.226679 1.05471e-15
356 0.236085 9.99201e-16
357 0.245499 1.05471e-15
358 0.254915 8.88178e-16
359 0.264327 8.32667e-16
360 0.273732 8.32667e-16
361 0.283125 7.77156e-16
362 0.292499 8.60423e-16
363 0.301851 8.88178e-16
364 0.311176 7.77156e-16
365 0.320469 7.77156e-16
366 0.329724 7.49401e-16
367 0.338938 7.49401e-16
368 0.348105 8.60423e-16
369 0.35722 8.04912e-16
370 0.36628 8.32667e-16
371 0.375279 8.32667e-16
372 0.384213 5.82867e-16
373 0.393077 9.15934e-16
