i Re Im
0 51.1982 0
1 -23.5306 -2017.11
2 -12.2027 -2046.11
3 -19.3295 -2105.1
4 25.6526 -27.7436
5 21.6142 6.47495
6 38.4151 -46.5821
7 29.6283 -22.7219
8 -32.1774 31.7438
9 7.4846 -42.4466
10 21.2002 27.1085
11 -30.3536 -38.75
12 -39.7186 31.271
13 41.2756 -32.4765
14 11.1905 -24.58
15 -3.60931 -55.8321
16 29.084 12.4887
17 -2.6068 8.88848
18 -12.1491 -20.5915
19 -30.8981 -16.7853
20 -25.6603 78.3917
21 -2.755 -19.394
22 34.4032 45.2784
23 -7.38395 -5.72983
24 -13.0508 -61.1767
25 -8.48038 -0.611834
26 10.9934 23.0015
27 7.95587 -2.58281
28 -15.2874 -37.6026
29 45.8851 -3.29023
30 8.65607 -1.50637
31 -6.33049 -6.49602
32 -14.2176 -23.033
33 -34.6721 14.3175
34 -2.17446 1.9274
35 17.5266 -9.43354
36 0.739906 7.81428
37 27.5874 25.6287
38 50.1951 7.08698
39 -18.6604 19.5232
40 9.00469 5.58879
41 -28.006 -18.6778
42 -14.7439 -31.053
43 0.301594 -14.9362
44 -15.0586 32.2756
45 -5.90003 2.35451
46 28.5463 -1.93479
47 -26.3542 26.7043
48 -6.95575 15.7233
49 46.139 3.47005
50 30.8784 10.713
51 -23.4125 12.9169
52 26.2371 -48.1416
53 26.1717 2.67448
54 -4.56759 33.209
55 -55.0263 -0.156966
56 -7.57461 44.9264
57 0.33575 15.608
58 -9.08754 11.2288
59 -41.8721 17.4755
60 30.7583 29.3118
61 -5.6595 7.17166
62 4.69577 -5.22956
63 34.4166 -22.2344
64 -10.4878 -15.8305
65 36.6114 -27.2577
66 -16.5811 31.603
67 6.88371 -31.1253
68 -17.4138 -27.3042
69 4.88452 -2.0006
70 -24.0109 -12.5704
71 14.4279 29.0807
72 -42.6834 -0.462516
73 13.2629 19.3535
74 52.9497 -3.43712
75 7.36634 44.9532
76 -22.5805 21.2664
77 22.6736 11.9235
78 -16.7805 31.1067
79 26.4148 -24.7314
80 -44.6214 -19.2652
81 -32.4728 -2.21728
82 18.5047 0.681015
83 -1.46703 -2.39953
84 2.74565 52.7078
85 -21.7031 20.0155
86 6.19269 11.7894
87 -8.30848 -8.80345
88 1.27306 -25.1278
89 24.0949 -38.3274
90 -6.06457 0.4898
91 31.8919 -43.4082
92 30.9734 -5.84542
93 6.52418 -25.6435
94 32.918 -34.7193
95 -7.41048 -2.89061
96 -32.112 -26.1923
97 -24.945 11.9181
98 23.1539 -4.62018
99 26.0191 27.478
100 -22.7631 -14.414
101 -24.6015 37.1202
102 6.66948 -32.5826
103 -14.8115 19.9256
104 20.7668 -22.2391
105 -49.0058 2.72084
106 6.82164 -9.01972
107 1.68588 -11.4917
108 -45.988 6.0874
109 -28.3539 -61.9031
110 17.5196 -24.9982
111 -20.9053 -31.6689
112 -7.63888 28.9035
113 24.0722 -46.2675
114 39.543 -36.2927
115 13.563 18.7114
116 -45.914 0.00431711
117 1.194 -32.759
118 7.9705 -42.1862
119 -23.0165 -59.7068
120 10.1086 -37.6489
121 -25.3577 36.6351
122 -47.7297 32.0559
123 9.58853 17.3226
