i Re Im
0 -0.0268861 1.88738e-15
1 -0.0175798 1.69261e-15
2 -0.00827329 1.54621e-15
3 0.0010332 1.63022e-15
4 0.0103396 1.97916e-15
5 0.0196457 1.7983e-15
6 0.0289515 1.98658e-15
7 0.0382567 1.50016e-15
8 0.0475613 2.24864e-15
9 0.0568651 2.11604e-15
10 0.066168 2.2353e-15
11 0.0754699 2.14412e-15
12 0.0847706 2.34686e-15
13 0.09407 2.33711e-15
14 0.103368 2.13913e-15
15 0.112664 2.10552e-15
16 0.121959 2.62962e-15
17 0.131252 2.5817e-15
18 0.140543 2.75604e-15
19 0.149831 2.52402e-15
20 0.159118 2.27422e-15
21 0.168402 1.98539e-15
22 0.177684 1.93248e-15
23 0.186963 1.42941e-15
24 0.196239 2.00447e-15
25 0.205512 1.79891e-15
26 0.214783 1.73299e-15
27 0.22405 1.69309e-15
28 0.233314 1.61676e-15
29 0.242574 1.61416e-15
30 0.251831 1.74513e-15
31 0.261084 1.49533e-15
32 0.270334 2.33667e-15
33 0.279579 2.15106e-15
34 0.288821 1.94636e-15
35 0.298058 1.7833e-15
36 0.307291 2.15106e-15
37 0.316519 1.96544e-15
38 0.325743 1.59768e-15
39 0.334962 1.36176e-15
40 0.344176 1.88217e-15
41 0.353385 1.61156e-15
42 0.362589 1.56819e-15
43 0.371788 1.47798e-15
44 0.380981 1.7486e-15
45 0.390169 1.51615e-15
46 0.399351 1.45717e-15
47 0.408528 1.33574e-15
48 0.417698 2.21004e-15
49 0.426863 1.94289e-15
50 0.436021 1.74166e-15
51 0.445173 1.88738e-15
52 0.454319 2.02616e-15
53 0.463458 1.63411e-15
54 0.47259 1.41206e-15
55 0.481715 1.01655e-15
56 0.490834 1.16573e-15
57 0.499945 1.03736e-15
58 0.50905 1.17267e-15
59 0.518146 9.78384e-16
60 0.527236 1.58207e-15
61 0.536318 1.21431e-15
62 0.545392 1.42941e-15
63 0.554458 1.54043e-15
64 0.563516 1.84575e-15
65 0.572567 1.75554e-15
66 0.581609 1.60288e-15
67 0.590642 1.6584e-15
68 0.599667 1.7833e-15
69 0.608684 1.7486e-15
70 0.617691 1.6584e-15
71 0.62669 1.20737e-15
72 0.63568 1.80411e-15
73 0.644661 1.63064e-15
74 0.653632 1.84575e-15
75 0.662594 1.22818e-15
76 0.671547 1.33227e-15
77 0.68049 9.50628e-16
78 0.689423 1.31145e-15
79 0.698346 9.64506e-16
80 0.70726 2.01228e-15
81 0.716163 1.90126e-15
82 0.725056 1.71391e-15
83 0.733938 1.55431e-15
84 0.74281 1.60288e-15
85 0.751672 1.29063e-15
86 0.760522 9.71445e-16
87 0.769362 2.08167e-16
88 0.778191 8.88178e-16
89 0.787008 5.96745e-16
90 0.795815 6.93889e-16
91 0.80461 6.80012e-16
92 0.813393 7.07767e-16
93 0.822165 7.77156e-16
94 0.830925 7.49401e-16
95 0.839673 5.82867e-16
96 0.84841 1.33227e-15
97 0.857134 1.23512e-15
98 0.865846 9.02056e-16
99 0.874545 7.91034e-16
100 0.883232 9.99201e-16
101 0.891907 8.60423e-16
102 0.900568 8.04912e-16
103 0.909217 2.77556e-16
104 0.917853 4.85723e-16
105 0.926476 3.88578e-16
106 0.935085 4.30211e-16
107 0.943682 2.77556e-17
108 0.952264 4.996e-16
109 0.960834 3.60822e-16
110 0.969389 5.96745e-16
111 0.977931 2.22045e-16
112 0.986459 1.09635e-15
113 0.994973 1.09635e-15
114 1.00347 8.74301e-16
115 1.01196 7.77156e-16
116 1.02043 1.16573e-15
117 1.02889 8.60423e-16
118 1.03733 6.66134e-16
119 1.04575 1.80411e-16
120 1.05417 6.10623e-16
121 1.06256 -4.16334e-17
122 1.07095 6.93889e-17
123 1.07931 -5.55112e-17
124 1.08766 2.77556e-16
125 1.096 -5.55112e-17
126 1.10432 8.32667e-17
127 1.11263 1.11022e-16
128 1.12092 -5.82867e-16
129 1.12919 -5.27356e-16
130 1.13745 -8.88178e-16
131 1.14569 -7.77156e-16
132 1.15391 -3.05311e-16
133 1.16212 -5.82867e-16
134 1.17031 -3.60822e-16
135 1.17849 -8.04912e-16
136 1.18665 -3.60822e-16
137 1.19479 -2.498e-16
138 1.20291 -1.66533e-16
139 1.21102 -4.71845e-16
140 1.21911 0
141 1.22719 -4.71845e-16
142 1.23524 -4.16334e-16
143 1.24328 -4.16334e-16
144 1.2513 3.60822e-16
145 1.25931 3.05311e-16
146 1.26729 3.60822e-16
147 1.27526 8.32667e-17
148 1.28321 4.996e-16
149 1.29114 1.11022e-16
150 1.29906 -1.66533e-16
151 1.30695 -5.55112e-16
152 1.31483 -1.66533e-16
153 1.32269 -4.71845e-16
154 1.33052 -4.16334e-16
155 1.33835 -4.71845e-16
156 1.34615 -1.11022e-16
157 1.35393 -2.77556e-17
158 1.36169 2.77556e-16
159 1.36944 1.66533e-16
160 1.37716 1.16573e-15
161 1.38487 9.71445e-16
162 1.39256 9.99201e-16
163 1.40022 8.04912e-16
164 1.40787 1.11022e-15
165 1.4155 8.88178e-16
166 1.42311 6.38378e-16
167 1.43069 1.66533e-16
168 1.43826 6.10623e-16
169 1.44581 5.55112e-17
170 1.45333 3.05311e-16
171 1.46084 -1.11022e-16
172 1.46833 5.55112e-16
173 1.47579 1.11022e-16
174 1.48324 3.05311e-16
175 1.49066 -1.38778e-16
