n	Approx Integral	Exact Integral	Error
2	0.390533	0.3542	0.0363325
3	0.35436	0.3542	0.000160228
4	0.352174	0.3542	0.00202611
5	0.353945	0.3542	0.000255342
6	0.354238	0.3542	0.0000380348
7	0.354172	0.3542	0.0000284919
8	0.354149	0.3542	0.0000509814
9	0.35415	0.3542	0.000049664
10	0.354152	0.3542	0.0000483243
11	0.354152	0.3542	0.0000482599
12	0.354152	0.3542	0.0000483251
13	0.354152	0.3542	0.0000483352
14	0.354152	0.3542	0.0000483327
15	0.354152	0.3542	0.0000483319
16	0.354152	0.3542	0.0000483319
17	0.354152	0.3542	0.000048332
18	0.354152	0.3542	0.000048332
19	0.354152	0.3542	0.000048332
20	0.354152	0.3542	0.000048332
