range;value
[0, 24.0273);11
[24.0273, 48.0545);73
[48.0545, 72.0818);216
[72.0818, 96.109);374
[96.109, 120.136);530
[120.136, 144.164);765
[144.164, 168.191);878
[168.191, 192.218);977
[192.218, 216.245);972
[216.245, 240.273);954
[240.273, 264.3);909
[264.3, 288.327);777
[288.327, 312.354);624
[312.354, 336.382);529
[336.382, 360.409);399
[360.409, 384.436);324
[384.436, 408.463);242
[408.463, 432.491);159
[432.491, 456.518);94
[456.518, 480.545);81
[480.545, 504.572);52
[504.572, 528.6);20
[528.6, 552.627);16
[552.627, 576.654);12
[576.654, 600.682);8
[600.682, 624.709);2
[624.709, 648.736);1
[648.736, 672.763);0
[672.763, 696.791);0
[696.791, 720.818);1
